cislo,delka,Q1,Q2,Q3,Q4,sirka,ctverce,teor
R1_1,250,0.025,0.03536,0.127,0.0727,250,1,100
R2_1,500,0.627,1.242,1.976,1.534,250,2,200
R3_1,750,1.504,7.1667,47.78,6.869,250,3,300
R4_1,1000,1.442,12.02,33.542,66.574,250,4,400
R5_1,1250,1.617,98.5,103.23,47.126,250,5,500
R6_1,1500,2.476,43.47,160.57,74.42,250,6,600
R7_1,1750,2.673,179.37,198.28,192.76,250,7,700
R8_1,2000,4.159,324.5,163.36,,250,8,800
R9_1,2250,4.629,297.44,402.9,526.827,250,9,900
R10_1,2500,5.447,,270.9,215.219,250,10,1000
R11_1,2500,2.139,161.75,39.392,30.513,500,5,500
